title,all_artists,release_date,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,emotion
Come,['Jain'],2016,False,61,0.818,0.783,1,-6.534,1,0.0444,0.232,0.00886,0.0803,0.819,99.992,4,Happy
Mr. Brightside,['The Killers'],2004,False,0,0.351,0.928,1,-3.71,1,0.0759,0.00113,0,0.0988,0.239,148.03,4,Happy
Footloose,['LEFT.'],2021,False,45,0.537,0.622,7,-6.602,1,0.224,0.372,0,0.127,0.729,99.905,4,Happy
Lush Life,['Zara Larsson'],2017,False,77,0.694,0.712,7,-3.923,0,0.046,0.132,0,0.211,0.799,98.023,4,Happy
Walking On Sunshine,['Katrina & The Waves'],1985,False,77,0.596,0.869,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902,4,Happy
Dinero,['Trinidad Cardona'],2018,True,80,0.708,0.782,2,-4.687,1,0.0674,0.00772,0,0.107,0.484,119.997,4,Happy
Country House,['Blur'],2000,False,54,0.341,0.894,9,-6.66,1,0.0765,0.147,0,0.0741,0.672,174.982,4,Happy
Skate,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",2021,False,80,0.708,0.598,5,-8.365,1,0.0291,0.037,0,0.17,0.698,112.027,4,Happy
My Girl,['High Tropics'],2021,False,42,0.692,0.832,0,-4.414,1,0.0291,0.0881,0.0674,0.183,0.858,112.007,4,Happy
I Got You (I Feel Good),['James Brown'],2010,False,2,0.598,0.531,7,-7.484,1,0.0954,0.331,1.51e-06,0.0938,0.696,70.469,3,Happy
Don't Start Now,['Dua Lipa'],2020,False,82,0.793,0.793,11,-4.521,0,0.083,0.0123,0,0.0951,0.679,123.95,4,Happy
A-O-K,['Tai Verdes'],2021,True,77,0.731,0.626,11,-6.919,1,0.0805,0.125,0,0.183,0.862,82.488,4,Happy
Don't Worry Be Happy,['Bobby McFerrin'],1997,False,67,0.681,0.163,11,-22.597,1,0.165,0.881,7.62e-05,0.0688,0.771,69.283,4,Happy
3 Nights,['Dominic Fike'],2018,False,68,0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,4,Happy
Gimme Hope Jo'Anna,['Eddy Grant'],2011,False,49,0.896,0.704,10,-12.148,1,0.0402,0.401,0.132,0.0884,0.98,128.685,4,Happy
Pretty Shining People,['George Ezra'],2018,False,64,0.584,0.726,1,-4.604,1,0.0371,0.14,0,0.0984,0.398,106.979,4,Happy
All About That Bass,['Meghan Trainor'],2014,True,61,0.811,0.879,9,-3.724,1,0.0514,0.0476,1.91e-06,0.109,0.962,134.064,4,Happy
Goodbye,['thom.ko'],2021,True,40,0.74,0.665,0,-9.093,1,0.036,0.396,0,0.464,0.778,93.993,4,Happy
"I'll Be There for You - Theme From ""Friends""",['The Rembrandts'],1995,False,67,0.32,0.917,9,-5.903,1,0.0771,0.0717,0,0.169,0.715,190.757,4,Happy
Electric Love,['BØRNS'],2015,False,83,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,4,Happy
Cassy O',['George Ezra'],2014,True,0,0.544,0.847,2,-4.794,1,0.0385,0.0462,0,0.336,0.168,97.974,4,Happy
Shiny Happy People,['R.E.M.'],1991,False,0,0.491,0.87,9,-5.99,1,0.0308,0.00361,0.126,0.184,0.814,124.444,4,Happy
How It Goes,['Zaide'],2021,False,38,0.653,0.756,11,-7.782,1,0.0328,0.217,0.309,0.102,0.908,150.003,4,Happy
Little Talks,['Of Monsters and Men'],2011,False,0,0.466,0.801,1,-5.175,1,0.0354,0.0209,0,0.241,0.379,103.197,4,Happy
Everybody Needs Somebody To Love,['The Blues Brothers'],2005,False,0,0.525,0.686,5,-8.879,1,0.0325,0.18,2.66e-06,0.274,0.91,193.667,4,Happy
Dance Monkey,['Tones And I'],2019,False,81,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,4,Happy
Homesick,['Arya'],2021,False,44,0.741,0.711,5,-9.359,0,0.126,0.439,0,0.116,0.801,74.989,4,Happy
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,"['Daft Punk', 'Pharrell Williams', 'Nile Rodgers']",2013,False,78,0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,4,Happy
Honeypie,['JAWNY'],2020,False,76,0.74,0.688,5,-4.361,0,0.0916,0.061,0,0.138,0.935,115.035,4,Happy
"Hey, Soul Sister",['Train'],2009,False,0,0.675,0.885,1,-4.432,0,0.0436,0.217,0,0.086,0.768,97.03,4,Happy
Heat Waves,['Glass Animals'],2020,False,91,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4,Happy
Should I Stay or Should I Go - Remastered,['The Clash'],2013,False,63,0.742,0.838,2,-6.442,1,0.11,0.0832,0,0.418,0.848,113.373,4,Happy
Treat People With Kindness,['Harry Styles'],2019,False,72,0.653,0.869,5,-3.725,1,0.0382,0.128,2.2e-05,0.046,0.697,122.017,4,Happy
No Ordinary Love,['3409'],2021,True,46,0.771,0.616,6,-6.851,0,0.0416,0.00174,5.41e-05,0.117,0.336,106.013,4,Happy
Riptide,['Vance Joy'],2014,False,78,0.484,0.731,1,-6.694,1,0.0379,0.431,0,0.151,0.51,101.654,4,Happy
The Wire,['HAIM'],2013,False,60,0.548,0.632,2,-5.569,1,0.145,0.0126,4.95e-06,0.0769,0.535,113.682,4,Happy
Mr. Blue Sky,['Electric Light Orchestra'],1977,False,80,0.388,0.338,10,-10.054,1,0.0329,0.652,3.73e-06,0.248,0.478,177.765,4,Happy
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","['Calvin Harris', 'Pharrell Williams', 'Katy Perry', 'Big Sean', 'Funk Wav']",2017,True,74,0.893,0.745,11,-3.105,0,0.0571,0.0642,0,0.0943,0.872,101.018,4,Happy
Posh Kid,"['Gasch', 'David Hong', 'Moo.']",2021,False,40,0.806,0.467,4,-11.021,0,0.12,0.414,0.00304,0.0881,0.565,101.048,4,Happy
Accidentally In Love,['Counting Crows'],2004,False,0,0.556,0.929,7,-3.659,1,0.037,0.0499,1.7e-06,0.0931,0.842,137.996,4,Happy
Drinking Wine,['Oscar Lang'],2020,True,36,0.434,0.958,11,-3.558,1,0.0543,2.64e-05,0.000245,0.101,0.746,145.063,4,Happy
Love Natural,['Crystal Fighters'],2013,False,0,0.654,0.791,11,-6.243,1,0.048,0.0392,0,0.321,0.603,133.042,4,Happy
Waterfalls,['High Tropics'],2020,False,39,0.429,0.859,8,-4.75,1,0.0479,0.00224,0.893,0.117,0.374,127.917,4,Happy
Jailhouse Rock,['Elvis Presley'],2002,False,61,0.635,0.672,10,-6.788,0,0.0637,0.314,5.03e-06,0.0688,0.895,166.903,4,Happy
Feel It Still,['Portugal. The Man'],2017,False,77,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,4,Happy
It's Tricky,['Run–D.M.C.'],1986,False,71,0.965,0.857,11,-8.458,0,0.17,0.00131,0,0.0726,0.951,127.656,4,Happy
Juice,['Lizzo'],2019,True,75,0.767,0.889,7,-2.988,1,0.0963,0.00611,0,0.402,0.843,119.93,4,Happy
Walk Of Life,['Dire Straits'],1998,False,0,0.461,0.936,4,-6.824,1,0.104,0.416,0.000135,0.136,0.811,172.43,4,Happy
Preach,['Camo Columbo'],2021,False,45,0.833,0.323,3,-6.3,0,0.0982,0.75,0.0111,0.137,0.678,93.031,4,Happy
Best Fake Smile,['James Bay'],2015,False,48,0.689,0.887,11,-4.27,1,0.0424,0.0231,0,0.275,0.937,142.014,4,Happy
Shine On,['The Kooks'],2008,False,49,0.466,0.634,6,-5.3,1,0.0289,0.0763,0,0.0678,0.324,128.992,4,Happy
Don't Slack (from Trolls World Tour),"['Anderson .Paak', 'Justin Timberlake']",2020,False,51,0.618,0.837,9,-5.574,1,0.115,0.0842,0,0.344,0.8,168.114,4,Happy
On Top Of The World,['Imagine Dragons'],2012,False,74,0.631,0.924,0,-5.589,1,0.146,0.0841,3.59e-06,0.084,0.755,100.045,4,Happy
I'm So Excited,['The Pointer Sisters'],1982,False,72,0.59,0.868,5,-5.832,0,0.048,0.0962,0.000322,0.442,0.798,184.348,4,Happy
I'm Good,"[""The Mowgli's""]",2015,False,0,0.613,0.923,0,-5.234,1,0.0691,0.00892,0,0.149,0.669,96.043,4,Happy
Grace Kelly,['MIKA'],2007,False,0,0.676,0.824,0,-5.752,1,0.0449,0.0271,0.0152,0.363,0.696,122.221,4,Happy
Delilah,['3409'],2020,True,39,0.685,0.498,2,-6.532,1,0.0652,0.148,8.35e-06,0.112,0.743,150.101,4,Happy
ABC,['The Jackson 5'],1995,False,0,0.559,0.752,8,-10.046,1,0.0581,0.448,0.00061,0.0907,0.946,187.712,4,Happy
Homerun (Radio Edit),['The Brahms'],2015,False,36,0.532,0.831,9,-4.359,1,0.0456,0.0104,0.000183,0.0801,0.764,93.948,4,Happy
Dynamite,['BTS'],2020,False,86,0.746,0.765,6,-4.41,0,0.0993,0.0112,0,0.0936,0.737,114.044,4,Happy
You Can't Always Get What You Want,['The Rolling Stones'],1969,False,66,0.32,0.62,0,-9.686,1,0.0594,0.64,6.36e-05,0.253,0.472,86.327,4,Happy
Adventure of a Lifetime,['Coldplay'],2015,False,56,0.638,0.924,7,-3.887,1,0.036,0.00205,0.000175,0.149,0.53,111.995,4,Happy
Home,['Edward Sharpe & The Magnetic Zeros'],2009,False,71,0.541,0.591,2,-6.688,1,0.0336,0.289,0.000431,0.124,0.116,111.676,4,Happy
Tainted Love - Single Version,['Gloria Jones'],1982,False,47,0.516,0.684,8,-5.659,1,0.0797,0.652,0,0.685,0.84,161.167,4,Happy
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",['Justin Timberlake'],2016,False,77,0.666,0.83,0,-5.715,1,0.0751,0.0123,0,0.191,0.702,113.03,4,Happy
Hot Pink Tiger,['Limón Limón'],2020,False,34,0.693,0.754,4,-7.57,0,0.0309,0.00828,0.0198,0.445,0.432,123.98,4,Happy
I'm Gonna Be (500 Miles),['The Proclaimers'],2003,False,72,0.851,0.551,4,-5.177,1,0.0396,0.151,0,0.0827,0.807,131.922,4,Happy
Jungle Drum,['Emilíana Torrini'],2008,False,0,0.636,0.881,2,-5.376,1,0.0758,0.134,0.00952,0.074,0.845,118.237,4,Happy
Sunny,['Boney M.'],1976,False,69,0.647,0.868,0,-6.427,0,0.106,0.088,0.124,0.129,0.804,121.82,4,Happy
Norgaard,['The Vaccines'],2011,False,0,0.323,0.847,11,-4.716,1,0.0348,5.12e-06,0.0208,0.25,0.859,173.914,4,Happy
Uptown Girl,['Billy Joel'],2001,False,63,0.696,0.943,4,-2.962,1,0.0431,0.0736,0,0.653,0.833,129.003,4,Happy
Best Day Of My Life,['American Authors'],2013,False,0,0.673,0.901,2,-2.379,1,0.0348,0.0525,0.000535,0.0736,0.503,100.002,4,Happy
"Rudy, A Message To You",['Dandy Livingstone'],2008,False,0,0.936,0.414,9,-8.942,0,0.0791,0.0211,0.453,0.11,0.899,107.438,4,Happy
Desire,"['Years & Years', 'Tove Lo']",2015,False,55,0.706,0.777,10,-4.591,0,0.0567,0.299,0,0.298,0.638,126.008,4,Happy
Friday I'm In Love,['The Cure'],1992,False,0,0.526,0.763,0,-12.663,0,0.0341,0.00126,6.75e-05,0.359,0.514,136.205,4,Happy
It's Love (but it's not mine),['EUT'],2019,False,0,0.516,0.805,5,-8.017,1,0.0311,0.000178,0.00135,0.413,0.72,136.67,4,Happy
One Way Or Another,['Blondie'],1998,False,55,0.445,0.872,6,-6.294,0,0.0602,0.00402,0.00909,0.047,0.834,162.407,4,Happy
My Type,['Saint Motel'],2013,False,0,0.594,0.83,10,-5.727,1,0.0632,0.0288,0.0215,0.261,0.69,117.973,4,Happy
The Bad Touch,['Bloodhound Gang'],2007,True,47,0.818,0.688,0,-7.083,0,0.0379,0.00209,0.0541,0.282,0.971,122.983,4,Happy
Get Up,['Rival'],2021,False,54,0.745,0.713,6,-6.668,1,0.0633,0.0237,0.00105,0.215,0.755,109.997,4,Happy
Chelsea Dagger,['The Fratellis'],2006,False,68,0.511,0.815,7,-3.14,1,0.144,0.0491,0,0.0826,0.586,154.514,4,Happy
Modern Love - Single Version; 2002 Digital Remaster,['David Bowie'],2002,False,0,0.464,0.895,0,-7.683,1,0.031,0.00227,0.00394,0.13,0.932,91.905,4,Happy
Let's Fall in Love Some More,['Al Bairre'],2015,False,39,0.607,0.924,7,-5.684,1,0.0703,0.0668,0,0.117,0.778,134.975,4,Happy
Suddenly I See,['KT Tunstall'],2005,False,72,0.587,0.767,0,-5.713,1,0.0449,0.225,0,0.112,0.664,100.38,4,Happy
Don't Stop (Color on the Walls),['Foster The People'],2011,False,63,0.611,0.948,1,-3.751,0,0.0753,0.00183,0.0995,0.0969,0.79,133.004,4,Happy
Toucan,['Camo Columbo'],2018,False,34,0.899,0.79,4,-3.651,1,0.104,0.793,0.155,0.111,0.92,107.985,4,Happy
I Will Survive - Remastered,['Gloria Gaynor'],2008,False,51,0.704,0.631,9,-12.299,0,0.0398,0.0346,0,0.159,0.793,123.286,4,Happy
All My Friends Are Stoned,['WizTheMc'],2020,False,60,0.794,0.628,6,-4.321,0,0.0328,0.0871,0,0.181,0.935,121.793,4,Happy
Start Me Up,['The Rolling Stones'],2012,False,0,0.629,0.905,5,-4.745,1,0.0378,0.0273,0.199,0.0644,0.967,122.448,4,Happy
Caroline,['High Tropics'],2020,False,37,0.462,0.813,9,-4.562,1,0.0327,5.65e-05,0.00352,0.227,0.595,129.99,4,Happy
Surfin' U.S.A. - Remastered 2001,['The Beach Boys'],2003,False,42,0.55,0.868,3,-5.472,1,0.0361,0.656,0,0.136,0.962,158.563,4,Happy
Jerk It Out,['Caesars'],2002,False,64,0.58,0.981,8,-2.603,0,0.06,0.0171,1.07e-05,0.386,0.861,134.007,4,Happy
"Sugar, Sugar",['The Archies'],2007,False,58,0.757,0.647,2,-10.264,1,0.0299,0.757,3.08e-06,0.0972,0.97,122.771,4,Happy
Baby Love,['Petite Meller'],2016,False,41,0.621,0.915,1,-5.224,1,0.0411,0.2,0.00332,0.0964,0.818,130.013,4,Happy
Can't Buy Me Love - Remastered 2015,['The Beatles'],2000,False,0,0.426,0.76,0,-4.082,1,0.0414,0.118,0,0.325,0.955,171.838,4,Happy
Confident,['LEFT.'],2020,False,40,0.507,0.599,0,-7.074,0,0.0934,0.0079,0,0.0909,0.516,89.932,4,Happy
Proud Mary,['Creedence Clearwater Revival'],1969,False,68,0.699,0.641,2,-7.564,1,0.0289,0.13,0.000218,0.0601,0.728,120.745,4,Happy
High,['Young Rising Sons'],2014,False,53,0.646,0.85,7,-5.145,1,0.043,0.028,7.21e-05,0.281,0.518,116.999,4,Happy
Beautiful Day,['U2'],2000,False,73,0.536,0.928,11,-6.492,0,0.0589,0.0154,0.00134,0.2,0.389,136.258,4,Happy
Lisztomania,['Phoenix'],2009,False,65,0.635,0.786,0,-6.46,1,0.0377,0.0349,0.00767,0.497,0.305,97.54,4,Happy
Dancing in the Moonlight,['Toploader'],2009,False,67,0.639,0.845,0,-3.333,0,0.0372,0.0528,0,0.336,0.871,119.48,4,Happy
Smaller,['Erik Hassle'],2015,False,34,0.405,0.728,7,-4.76,1,0.0433,0.415,0,0.0777,0.342,188.701,4,Happy
You Can't Hurry Love,['Phil Collins'],1982,False,0,0.639,0.923,7,-5.708,1,0.032,0.0674,0,0.0879,0.761,97.874,4,Happy
LA Calling,['Crystal Fighters'],2013,False,0,0.574,0.887,11,-6.172,1,0.0565,0.0607,2.41e-06,0.334,0.622,136.057,4,Happy
Born to Be Alive,['Patrick Hernandez'],1978,False,70,0.704,0.867,2,-5.808,1,0.0315,0.0846,0,0.206,0.809,131.467,4,Happy
Side Effects (feat. Emily Warren),"['The Chainsmokers', 'Emily Warren']",2018,False,0,0.673,0.71,8,-6.744,1,0.0324,0.00277,0,0.55,0.54,110.017,4,Happy
My Generation - Mono Version,['The Who'],1966,False,59,0.299,0.787,0,-7.93,0,0.069,0.14,0,0.292,0.716,94.798,4,Happy
Shotgun,['George Ezra'],2018,False,78,0.673,0.735,5,-4.733,1,0.0457,0.286,0,0.242,0.754,115.744,4,Happy
Viva La Vida,['Coldplay'],2008,False,80,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,4,Happy
If You Wanna Be Happy,['Jimmy Soul'],2014,False,29,0.639,0.875,10,-8.231,1,0.0413,0.611,1.18e-05,0.204,0.873,93.242,4,Happy
Girls,['The 1975'],2013,True,60,0.657,0.913,11,-4.984,1,0.0528,0.00392,0.00149,0.466,0.906,108.036,4,Happy
Come On Eileen,['Dexys Midnight Runners'],1982,False,0,0.435,0.652,0,-8.495,1,0.0404,0.519,0,0.129,0.806,108.097,4,Happy
Price Tag,"['Jessie J', 'B.o.B']",2011,False,74,0.636,0.831,5,-3.945,1,0.182,0.0294,3.85e-06,0.272,0.668,175.015,4,Happy
"Yes Sir, I Can Boogie",['The Fratellis'],2021,False,48,0.58,0.819,1,-7.485,1,0.03,0.00234,0.00464,0.0864,0.328,120.019,4,Happy
Got My Mind Set On You,['Damien Leith'],2012,False,40,0.674,0.84,1,-3.879,0,0.0746,0.0338,0.000441,0.0941,0.875,150.011,4,Happy
San Francisco,"[""The Mowgli's""]",2012,False,35,0.363,0.893,11,-4.81,1,0.0584,0.0131,0,0.0825,0.37,93.041,4,Happy
Hit The Road Jack,"['Jeff Zavac', 'The Craetts']",2006,False,13,0.593,0.752,8,-6.617,0,0.0313,0.0841,0.00308,0.197,0.935,172.087,4,Happy
Work This Body,['WALK THE MOON'],2014,False,59,0.421,0.831,4,-5.128,1,0.106,0.0283,0,0.464,0.488,134.184,4,Happy
I'm a Believer,['The Monkees'],2001,False,39,0.519,0.772,0,-6.784,1,0.0331,0.534,1.21e-05,0.271,0.961,79.618,4,Happy
Havana (feat. Young Thug),"['Camila Cabello', 'Young Thug']",2018,False,81,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,4,Happy
Song Away,['Hockey'],2009,False,25,0.639,0.72,6,-4.253,1,0.0284,0.0276,0,0.113,0.921,131.797,4,Happy
Walkin' On The Sun,['Smash Mouth'],2001,False,0,0.732,0.973,6,-5.33,1,0.0319,0.456,0,0.154,0.967,123.292,4,Happy
Heavy,['Animal House'],2014,False,32,0.507,0.753,11,-4.064,1,0.0339,0.00164,0.00087,0.168,0.968,179.948,4,Happy
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance","['Maroon 5', 'Christina Aguilera']",2010,False,76,0.722,0.761,11,-4.459,0,0.0475,0.0117,0,0.315,0.624,128.044,4,Happy
"Happy - From ""Despicable Me 2""",['Pharrell Williams'],2014,False,3,0.647,0.822,5,-4.662,0,0.183,0.219,0,0.0908,0.962,160.019,4,Happy
Rather Be (feat. Jess Glynne),"['Clean Bandit', 'Jess Glynne']",2014,False,70,0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97,4,Happy
All That She Wants,['Ace of Base'],1992,False,0,0.707,0.628,11,-9.684,1,0.0877,0.00526,8.21e-05,0.104,0.87,187.548,4,Happy
Starfish,['Camo Columbo'],2018,False,34,0.861,0.408,6,-6.632,0,0.217,0.756,4.36e-05,0.278,0.713,113.964,4,Happy
Go Your Own Way,['Fleetwood Mac'],1977,False,0,0.597,0.812,5,-12.062,1,0.0315,0.0219,0.00106,0.102,0.823,135.68,4,Happy
Everybody Talks,['Neon Trees'],2011,False,0,0.479,0.931,8,-3.976,1,0.0613,0.00767,0,0.306,0.708,154.931,4,Happy
Happy Hour,['The Housemartins'],2007,False,34,0.51,0.918,10,-6.219,1,0.0433,0.113,2.31e-06,0.115,0.94,95.876,4,Happy
On Our Way,['The Royal Concept'],2013,False,0,0.582,0.787,1,-5.923,1,0.0877,0.00777,0,0.182,0.368,130.953,4,Happy
99 Red Balloons,['Nena'],2007,False,0,0.474,0.57,4,-3.188,1,0.068,0.187,0,0.106,0.535,94.16,4,Happy
Something That I Want,['Grace Potter'],2011,False,0,0.551,0.834,5,-5.882,1,0.0482,0.0123,0.000936,0.472,0.962,168.944,4,Happy
Gotta Go Home,['Boney M.'],2009,False,44,0.74,0.945,1,-5.666,1,0.0314,0.223,0.116,0.356,0.975,131.644,4,Happy
Sister Of Pearl,['Baio'],2015,False,0,0.736,0.676,5,-7.28,1,0.0408,0.0808,0.149,0.197,0.935,125.046,4,Happy
So Lonely,['The Police'],2002,False,0,0.532,0.586,7,-7.503,1,0.179,0.0182,9.8e-06,0.0963,0.737,77.705,4,Happy
Sweet About Me,['Gabriella Cilmi'],2008,False,36,0.682,0.724,3,-5.055,0,0.0306,0.164,0,0.301,0.491,132.051,4,Happy
I'm Still Standing,['Elton John'],1983,False,80,0.504,0.904,6,-6.863,1,0.179,0.356,0.121,0.14,0.772,176.808,4,Happy
Stronger (What Doesn't Kill You),['Kelly Clarkson'],2011,False,75,0.562,0.939,0,-4.282,1,0.0475,0.046,0,0.112,0.684,116.044,4,Happy
Conga!,['Miami Sound Machine'],1984,False,57,0.782,0.873,2,-7.157,1,0.0475,0.141,0.0571,0.112,0.858,123.181,4,Happy
Perfect Strangers,"['Jonas Blue', 'JP Cooper']",2016,False,0,0.731,0.822,1,-5.305,1,0.0459,0.394,0,0.288,0.708,118.021,4,Happy
You Make My Dreams (Come True),['Daryl Hall & John Oates'],2001,False,61,0.749,0.484,5,-9.944,1,0.0484,0.13,0.137,0.0486,0.939,167.084,4,Happy
I Will Wait,['Mumford & Sons'],2012,False,0,0.477,0.776,1,-5.056,1,0.0349,0.0155,0.00314,0.203,0.429,131.004,4,Happy
It's Just Gotta Be That Way,['Bobby Angelle'],2015,False,0,0.683,0.719,7,-4.568,1,0.0299,0.533,1.84e-05,0.112,0.907,118.731,4,Happy
Bohemian Like You,['The Dandy Warhols'],2008,False,44,0.578,0.936,9,-5.761,1,0.0364,0.00305,0.687,0.47,0.659,131.268,4,Happy
Rock Around the Clock,['Bill Haley'],2007,False,0,0.806,0.657,9,-11.574,1,0.158,0.267,0.000182,0.224,0.702,89.492,4,Happy
I Spy,['Mikhael Paskalev'],2013,False,30,0.628,0.886,11,-4.253,0,0.0485,0.377,8.65e-06,0.186,0.694,123.942,4,Happy
Give It Up,['KC & The Sunshine Band'],2011,False,0,0.837,0.592,3,-14.264,1,0.0671,0.0754,0.000251,0.0671,0.836,125.686,4,Happy
Paint a Smile On Me - Radio Edit,['Black Yaya'],2013,False,35,0.736,0.813,7,-4.296,1,0.0853,0.0393,1.64e-06,0.164,0.933,118.968,4,Happy
Woo Hoo,"[""The 5.6.7.8's""]",2003,False,47,0.566,0.811,11,-9.849,0,0.0435,0.732,0.638,0.596,0.961,127.944,4,Happy
The Game of Love - Main/Radio Mix,"['Santana', 'Michelle Branch']",2007,False,0,0.597,0.93,2,-3.23,1,0.0477,0.0776,0.000404,0.0566,0.693,119.788,4,Happy
Beat Of My Drum,['POWERS'],2015,False,0,0.774,0.91,4,-2.456,1,0.0722,0.053,9.67e-06,0.095,0.881,120.02,4,Happy
Stuck In The Middle With You,['Stealers Wheel'],2009,False,68,0.795,0.564,7,-10.482,1,0.0392,0.0934,0.000531,0.0631,0.961,124.166,4,Happy
If You Wanna Stay,['The Griswolds'],2014,False,0,0.543,0.946,5,-3.888,1,0.0391,0.000459,0.000259,0.108,0.221,116.515,4,Happy
Summer Of '69,['Bryan Adams'],1984,False,0,0.508,0.725,2,-10.795,1,0.0344,0.0157,1.26e-06,0.0995,0.741,138.934,4,Happy
Lightning Bolt,['Jake Bugg'],2012,False,0,0.561,0.846,9,-4.48,1,0.0867,0.0634,0,0.193,0.75,116.168,4,Happy
I Believe in a Thing Called Love,['The Darkness'],2003,False,69,0.442,0.846,4,-5.214,1,0.0764,0.0538,4.71e-06,0.282,0.622,128.235,4,Happy
I Gotta Have It,['Jace Everett'],2006,False,30,0.533,0.964,4,-4.712,1,0.0878,0.269,6.29e-05,0.0642,0.812,156.149,4,Happy
American Pie,['Don McLean'],1988,False,68,0.526,0.509,7,-10.893,1,0.0628,0.6,0,0.144,0.497,138.318,4,Happy
Pretoria Girls,['Desmond and the Tutus'],2015,False,38,0.553,0.724,2,-6.486,0,0.0359,0.00585,4.72e-05,0.366,0.383,128.024,4,Happy
Move Your Feet,['Junior Senior'],2002,False,0,0.747,0.904,9,-2.623,1,0.0803,0.046,0.106,0.203,0.846,118.877,4,Happy
Faith - Remastered,['George Michael'],1987,False,74,0.887,0.48,11,-11.994,1,0.117,0.0094,3.58e-05,0.0662,0.607,95.846,4,Happy
Restless Year,['Ezra Furman'],2015,False,0,0.704,0.845,9,-9.516,1,0.0535,0.0383,2.03e-05,0.12,0.623,94.52,4,Happy
Town Called Malice,['The Jam'],2006,False,0,0.534,0.943,2,-5.898,1,0.0845,0.000855,0.0264,0.0697,0.823,101.754,4,Happy
Sweet Home Alabama,['Lynyrd Skynyrd'],1991,False,0,0.601,0.593,0,-11.685,1,0.0257,0.181,0.000441,0.121,0.902,97.784,4,Happy
Umbrella,['The Baseballs'],2010,False,41,0.643,0.879,10,-3.602,1,0.0426,0.438,0,0.107,0.952,106.077,4,Happy
Moi je joue,['Brigitte Bardot'],1994,False,0,0.652,0.742,9,-9.687,0,0.0501,0.41,0.052,0.323,0.736,106.096,4,Happy
